/home/pi/Documents/data/pi_camera/date_7-6-2024_13.0.11_1.png,/home/pi/Documents/data/lepton/date_7-6-2024_13.0.14_1.png,/home/pi/Documents/data/mlx/pic_2024-06-07_13-00-29.jpg,29.44085988691332,84.99354779644398,[40.54227789 38.65469316 37.27808677 35.68816124 30.59136958 28.02310064
 27.35791519 27.33299999 28.74511804 27.97242644 28.03281012 28.4801297
 30.52282259 33.7133165  30.0748532  28.97858131 27.91043185 27.64675417
 27.15199234 27.53451794 28.90851803 27.81823655 30.57354407 33.07172902
 39.23476478 39.38789065 39.15877431 39.12270479 39.04735098 38.037318
 38.03366649 37.82158576 39.88545614 39.46715848 37.91899783 35.96929468
 29.26721231 28.35812007 28.0050213  28.01232574 27.94319535 28.13286558
 29.06706294 28.60417975 31.30045636 33.35391322 30.90836173 29.05427458
 28.13734641 28.25442057 28.33686077 28.07630455 28.07394975 27.97240322
 28.15336073 30.04698344 38.47585281 39.32565584 38.65163259 37.92132452
 37.19297187 37.45267269 36.11722057 37.08531478 39.49752323 37.24907033
 35.00749663 34.66174808 30.52410329 28.62433659 29.24097187 29.19666785
 29.61180473 28.44743916 28.82980616 29.09095918 33.23184514 36.02252552
 30.69372827 28.88799634 27.85192799 27.55073298 26.81110024 27.21071999
 27.20047358 27.18240261 26.55261584 28.09378165 29.3417888  29.18890993
 36.38909328 38.23722244 38.61740199 38.82040144 38.24802771 37.98339708
 36.71432605 35.37401855 30.04337143 29.85440095 29.48702609 30.58133488
 29.33417247 29.5835105  28.99320179 28.64923838 29.41141112 29.16170136
 33.13430189 36.97285369 31.13410792 28.40185849 27.59696273 27.4358268
 27.36827925 28.34589559 25.9053623  27.29453909 27.2338682  28.21115397
 28.21369523 27.94457455 30.04479343 33.41706445 37.65582693 39.41256128
 39.1650152  38.29397786 28.60963573 27.512408   27.94135541 28.93252677
 29.19913349 28.76146956 27.96087458 28.13948742 29.35258227 28.4581494
 28.75728035 28.62476484 33.34749297 36.55455342 30.21787981 28.22449454
 28.27688859 26.32850203 26.2401601  27.28510705 26.79202486 25.60626928
 26.70105376 26.83072325 27.48203303 28.08784151 27.32666286 27.86387446
 32.75083531 35.0766721  37.69756233 38.89235815 27.82405568 28.2045555
 28.12034547 27.23918067 28.77478177 28.8765105  28.43467305 28.21341045
 28.07663682 29.10460781 28.39270972 29.08764656 31.4262479  33.24656386
 29.11925625 28.26951223 27.57975984 27.54022154 26.90485949 26.3538187
 27.0498485  27.40821872 26.56770455 26.35041848 27.61877384 27.72626501
 28.10760145 27.37291779 28.61601245 31.66698753 36.97214079 38.20354999
 27.91262308 26.95017992 28.2346946  28.11801286 28.61628123 27.96198735
 27.36830188 28.19559284 28.46336303 27.77335809 27.80230734 28.61441054
 32.89789959 32.76964838 28.50164693 28.22730584 26.8310623  27.37647566
 27.80938088 27.44877027 27.82317068 27.01052958 25.36706448 25.50844076
 26.91115179 26.33464423 26.55246934 26.65556165 27.72628571 27.49253864
 30.03794986 34.65304311 27.66522817 28.26774469 28.80330381 29.24086172
 28.59981027 28.64185704 28.92460455 28.24270293 28.75361191 28.80454554
 27.70741758 27.70181217 33.69329918 34.51845679 29.54173333 27.09706939
 26.86814413 28.10620756 27.44222941 26.97985619 26.8707353  27.50402512
 26.38990145 25.17226618 26.36147578 27.01010209 27.08421232 27.09639852
 27.35297839 27.12310882 29.01784622 30.44122375 28.477183   27.33541556
